"job_title_short","posting_month","job_posting_count"
"Business Analyst","2023-12-01","2"
"Business Analyst","2024-01-01","3089"
"Business Analyst","2024-02-01","3308"
"Business Analyst","2024-03-01","2927"
"Business Analyst","2024-04-01","2476"
"Business Analyst","2024-05-01","2504"
"Business Analyst","2024-06-01","2260"
"Business Analyst","2024-07-01","3009"
"Business Analyst","2024-08-01","2921"
"Business Analyst","2024-09-01","1935"
"Business Analyst","2024-10-01","1180"
"Business Analyst","2024-11-01","1087"
"Business Analyst","2024-12-01","1886"
"Cloud Engineer","2023-12-01","1"
"Cloud Engineer","2024-01-01","725"
"Cloud Engineer","2024-02-01","798"
"Cloud Engineer","2024-03-01","638"
"Cloud Engineer","2024-04-01","549"
"Cloud Engineer","2024-05-01","610"
"Cloud Engineer","2024-06-01","595"
"Cloud Engineer","2024-07-01","707"
"Cloud Engineer","2024-08-01","635"
"Cloud Engineer","2024-09-01","428"
"Cloud Engineer","2024-10-01","302"
"Cloud Engineer","2024-11-01","188"
"Cloud Engineer","2024-12-01","663"
"Data Analyst","2023-12-01","20"
"Data Analyst","2024-01-01","12332"
"Data Analyst","2024-02-01","12603"
"Data Analyst","2024-03-01","11374"
"Data Analyst","2024-04-01","10124"
"Data Analyst","2024-05-01","10500"
"Data Analyst","2024-06-01","9537"
"Data Analyst","2024-07-01","11563"
"Data Analyst","2024-08-01","10701"
"Data Analyst","2024-09-01","6850"
"Data Analyst","2024-10-01","4613"
"Data Analyst","2024-11-01","3694"
"Data Analyst","2024-12-01","8955"
"Data Engineer","2023-12-01","23"
"Data Engineer","2024-01-01","14062"
"Data Engineer","2024-02-01","14577"
"Data Engineer","2024-03-01","13199"
"Data Engineer","2024-04-01","11920"
"Data Engineer","2024-05-01","12211"
"Data Engineer","2024-06-01","11065"
"Data Engineer","2024-07-01","13724"
"Data Engineer","2024-08-01","13203"
"Data Engineer","2024-09-01","8468"
"Data Engineer","2024-10-01","5068"
"Data Engineer","2024-11-01","3805"
"Data Engineer","2024-12-01","7669"
"Data Scientist","2023-12-01","20"
"Data Scientist","2024-01-01","11423"
"Data Scientist","2024-02-01","12421"
"Data Scientist","2024-03-01","10163"
"Data Scientist","2024-04-01","9281"
"Data Scientist","2024-05-01","9598"
"Data Scientist","2024-06-01","8830"
"Data Scientist","2024-07-01","10328"
"Data Scientist","2024-08-01","9030"
"Data Scientist","2024-09-01","5636"
"Data Scientist","2024-10-01","3797"
"Data Scientist","2024-11-01","2054"
"Data Scientist","2024-12-01","5083"
"Machine Learning Engineer","2023-12-01","4"
"Machine Learning Engineer","2024-01-01","1317"
"Machine Learning Engineer","2024-02-01","1421"
"Machine Learning Engineer","2024-03-01","1337"
"Machine Learning Engineer","2024-04-01","1175"
"Machine Learning Engineer","2024-05-01","1235"
"Machine Learning Engineer","2024-06-01","1137"
"Machine Learning Engineer","2024-07-01","1519"
"Machine Learning Engineer","2024-08-01","1303"
"Machine Learning Engineer","2024-09-01","814"
"Machine Learning Engineer","2024-10-01","465"
"Machine Learning Engineer","2024-11-01","310"
"Machine Learning Engineer","2024-12-01","823"
"Senior Data Analyst","2023-12-01","3"
"Senior Data Analyst","2024-01-01","1600"
"Senior Data Analyst","2024-02-01","1576"
"Senior Data Analyst","2024-03-01","1461"
"Senior Data Analyst","2024-04-01","1286"
"Senior Data Analyst","2024-05-01","1525"
"Senior Data Analyst","2024-06-01","1415"
"Senior Data Analyst","2024-07-01","1505"
"Senior Data Analyst","2024-08-01","1424"
"Senior Data Analyst","2024-09-01","954"
"Senior Data Analyst","2024-10-01","740"
"Senior Data Analyst","2024-11-01","634"
"Senior Data Analyst","2024-12-01","1224"
"Senior Data Engineer","2023-12-01","5"
"Senior Data Engineer","2024-01-01","3159"
"Senior Data Engineer","2024-02-01","3262"
"Senior Data Engineer","2024-03-01","2995"
"Senior Data Engineer","2024-04-01","2795"
"Senior Data Engineer","2024-05-01","3001"
"Senior Data Engineer","2024-06-01","2686"
"Senior Data Engineer","2024-07-01","3414"
"Senior Data Engineer","2024-08-01","3343"
"Senior Data Engineer","2024-09-01","2154"
"Senior Data Engineer","2024-10-01","1139"
"Senior Data Engineer","2024-11-01","886"
"Senior Data Engineer","2024-12-01","1769"
"Senior Data Scientist","2023-12-01","2"
"Senior Data Scientist","2024-01-01","2458"
"Senior Data Scientist","2024-02-01","2535"
"Senior Data Scientist","2024-03-01","2084"
"Senior Data Scientist","2024-04-01","1935"
"Senior Data Scientist","2024-05-01","2356"
"Senior Data Scientist","2024-06-01","2006"
"Senior Data Scientist","2024-07-01","2456"
"Senior Data Scientist","2024-08-01","2201"
"Senior Data Scientist","2024-09-01","1387"
"Senior Data Scientist","2024-10-01","761"
"Senior Data Scientist","2024-11-01","445"
"Senior Data Scientist","2024-12-01","1105"
"Software Engineer","2023-12-01","10"
"Software Engineer","2024-01-01","2768"
"Software Engineer","2024-02-01","2778"
"Software Engineer","2024-03-01","2538"
"Software Engineer","2024-04-01","2017"
"Software Engineer","2024-05-01","2206"
"Software Engineer","2024-06-01","2104"
"Software Engineer","2024-07-01","2509"
"Software Engineer","2024-08-01","2078"
"Software Engineer","2024-09-01","1223"
"Software Engineer","2024-10-01","961"
"Software Engineer","2024-11-01","588"
"Software Engineer","2024-12-01","1622"
