"job_title_short","total_job_posting_count","job_posting_share_pct","skill_tagged_job_posting_count","skill_coverage_pct","avg_listed_skills_per_skill_tagged_job","remote_job_posting_count","remote_work_opportunity_rate","annual_salary_posting_count","annual_salary_disclosure_pct","median_annual_salary","hourly_salary_posting_count","hourly_salary_disclosure_pct","median_hourly_salary"
"Data Engineer","128994","26.94","117877","91.38","6.67","19018","14.74","3643","2.82","126268.00","2609","2.02","59.16"
"Data Analyst","112866","23.57","90964","80.59","3.95","11185","9.91","6227","5.52","90000.00","3171","2.81","32.50"
"Data Scientist","97664","20.39","82430","84.40","5.38","13468","13.79","5065","5.19","125000.00","2392","2.45","43.04"
"Senior Data Engineer","30608","6.39","28665","93.65","7.43","5242","17.13","1128","3.69","146500.00","491","1.60","58.68"
"Business Analyst","28584","5.97","21830","76.37","3.80","2914","10.19","944","3.30","95350.00","329","1.15","43.00"
"Software Engineer","23402","4.89","19954","85.27","6.04","3339","14.27","643","2.75","145000.00","135","0.58","60.00"
"Senior Data Scientist","21731","4.54","19030","87.57","5.67","3030","13.94","1259","5.79","155500.00","498","2.29","49.90"
"Senior Data Analyst","15347","3.20","13126","85.53","4.66","1922","12.52","936","6.10","107310.00","369","2.40","39.45"
"Machine Learning Engineer","12860","2.69","11301","87.88","6.55","2283","17.75","429","3.34","155000.00","58","0.45","60.75"
"Cloud Engineer","6839","1.43","4848","70.89","5.41","594","8.69","61","0.89","113837.50","24","0.35","50.00"
