"job_title_short","skill_name","skill_type","skill_job_posting_count","skill_tagged_job_posting_count","skill_demand_pct","skill_rank"
"Business Analyst","sql","programming","11034","21830","50.55","1"
"Business Analyst","excel","analyst_tools","10091","21830","46.23","2"
"Business Analyst","tableau","analyst_tools","6234","21830","28.56","3"
"Business Analyst","power bi","analyst_tools","6082","21830","27.86","4"
"Business Analyst","python","programming","5690","21830","26.07","5"
"Cloud Engineer","python","programming","2012","4848","41.50","1"
"Cloud Engineer","azure","cloud","1754","4848","36.18","2"
"Cloud Engineer","aws","cloud","1618","4848","33.37","3"
"Cloud Engineer","sql","programming","1328","4848","27.39","4"
"Cloud Engineer","kubernetes","other","921","4848","19.00","5"
"Data Analyst","sql","programming","52505","90964","57.72","1"
"Data Analyst","excel","analyst_tools","37706","90964","41.45","2"
"Data Analyst","python","programming","35508","90964","39.04","3"
"Data Analyst","tableau","analyst_tools","26939","90964","29.62","4"
"Data Analyst","power bi","analyst_tools","26499","90964","29.13","5"
"Data Engineer","sql","programming","80022","117877","67.89","1"
"Data Engineer","python","programming","76861","117877","65.20","2"
"Data Engineer","aws","cloud","46129","117877","39.13","3"
"Data Engineer","azure","cloud","44520","117877","37.77","4"
"Data Engineer","spark","libraries","35949","117877","30.50","5"
"Data Scientist","python","programming","64628","82430","78.40","1"
"Data Scientist","sql","programming","44259","82430","53.69","2"
"Data Scientist","r","programming","31132","82430","37.77","3"
"Data Scientist","aws","cloud","16726","82430","20.29","4"
"Data Scientist","tableau","analyst_tools","15204","82430","18.44","5"
"Machine Learning Engineer","python","programming","9445","11301","83.58","1"
"Machine Learning Engineer","pytorch","libraries","4823","11301","42.68","2"
"Machine Learning Engineer","tensorflow","libraries","4559","11301","40.34","3"
"Machine Learning Engineer","aws","cloud","4045","11301","35.79","4"
"Machine Learning Engineer","azure","cloud","3346","11301","29.61","5"
"Senior Data Analyst","sql","programming","9402","13126","71.63","1"
"Senior Data Analyst","python","programming","6402","13126","48.77","2"
"Senior Data Analyst","tableau","analyst_tools","5501","13126","41.91","3"
"Senior Data Analyst","excel","analyst_tools","4291","13126","32.69","4"
"Senior Data Analyst","power bi","analyst_tools","3690","13126","28.11","5"
"Senior Data Engineer","sql","programming","20192","28665","70.44","1"
"Senior Data Engineer","python","programming","19639","28665","68.51","2"
"Senior Data Engineer","aws","cloud","12889","28665","44.96","3"
"Senior Data Engineer","azure","cloud","12189","28665","42.52","4"
"Senior Data Engineer","spark","libraries","10615","28665","37.03","5"
"Senior Data Scientist","python","programming","15494","19030","81.42","1"
"Senior Data Scientist","sql","programming","11458","19030","60.21","2"
"Senior Data Scientist","r","programming","6847","19030","35.98","3"
"Senior Data Scientist","aws","cloud","5277","19030","27.73","4"
"Senior Data Scientist","azure","cloud","4103","19030","21.56","5"
"Software Engineer","python","programming","8737","19954","43.79","1"
"Software Engineer","sql","programming","6839","19954","34.27","2"
"Software Engineer","aws","cloud","5992","19954","30.03","3"
"Software Engineer","java","programming","5314","19954","26.63","4"
"Software Engineer","azure","cloud","4326","19954","21.68","5"
